Time,Site,Occ1,Occ2,Occ3,MinQ1,MaxQ1,Link,lnLink,Season
1,1,1,0,1,0.61,5.59,4,1.386294361,Summer
1,2,0,1,1,0.45,6.63,144,4.9698133,Summer
1,3,0,0,0,0.12,3.19,3,1.098612289,Summer
1,4,1,1,1,0.32,6.4,9,2.197224577,Summer
1,5,1,1,1,0.22,6.36,18,2.890371758,Summer
1,6,1,1,1,0.55,4.97,18,2.890371758,Summer
1,7,0,0,0,0.37,7.44,3,1.098612289,Summer
1,8,0,0,0,0.57,5.72,3,1.098612289,Summer
1,9,1,1,0,0.84,1.59,3,1.098612289,Summer
1,10,1,1,1,0.56,5.6,2,0.693147181,Summer
1,11,1,0,1,0.46,6.06,166,5.111987788,Summer
1,12,0,1,0,0.7,3.39,330,5.799092654,Summer
1,13,0,0,0,0.2,4.79,38,3.63758616,Summer
1,14,0,0,1,0.17,2.72,773,6.650279049,Summer
1,15,1,1,1,0.79,3.49,6,1.791759469,Summer
1,16,0,0,0,0.64,2.01,9,2.197224577,Summer
1,17,1,0,1,0.92,7.15,80,4.382026635,Summer
1,18,1,1,1,0.62,1.02,4,1.386294361,Summer
1,19,0,0,0,0.44,6.36,4,1.386294361,Summer
1,20,1,0,1,0.81,6.84,3,1.098612289,Summer
1,21,1,1,1,0.1,3.64,106,4.663439094,Summer
1,22,0,0,0,0.99,2.02,15,2.708050201,Summer
1,23,1,1,1,0.63,7.42,10,2.302585093,Summer
1,24,0,0,0,0.29,2.31,2,0.693147181,Summer
1,25,0,1,1,0.48,4.18,20,2.995732274,Summer
1,26,0,0,1,0.47,7.75,90,4.49980967,Summer
2,1,1,1,1,0.16,7.58,4,1.386294361,Spring
2,2,1,0,1,0.06,1.47,144,4.9698133,Spring
2,3,1,1,1,0.21,6.73,3,1.098612289,Spring
2,4,1,1,1,0.57,5.92,9,2.197224577,Spring
2,5,0,0,0,0.85,6.87,18,2.890371758,Spring
2,6,0,0,0,0.42,1.53,18,2.890371758,Spring
2,7,1,1,1,0.12,4.67,3,1.098612289,Spring
2,8,1,1,1,0.96,3.55,3,1.098612289,Spring
2,9,1,1,1,0.05,5.3,3,1.098612289,Spring
2,10,1,0,1,0.26,1.63,2,0.693147181,Spring
2,11,0,1,0,0.15,7.52,166,5.111987788,Spring
2,12,0,1,1,0.69,6.08,330,5.799092654,Spring
2,13,1,1,1,0.97,6.39,38,3.63758616,Spring
2,14,0,0,0,0.32,6.94,773,6.650279049,Spring
2,15,1,1,1,0.69,3.55,6,1.791759469,Spring
2,16,0,0,0,0.51,5.89,9,2.197224577,Spring
2,17,1,1,1,0.11,3.53,80,4.382026635,Spring
2,18,1,1,0,0.46,6.64,4,1.386294361,Spring
2,19,1,1,1,0.91,5.77,4,1.386294361,Spring
2,20,1,0,0,0.12,3.82,3,1.098612289,Spring
2,21,1,0,1,0.5,6.73,106,4.663439094,Spring
2,22,1,1,0,0.94,1.67,15,2.708050201,Spring
2,23,1,1,1,0.81,1.19,10,2.302585093,Spring
2,24,0,0,0,0.7,6.35,2,0.693147181,Spring
2,25,1,1,1,0.69,7.47,20,2.995732274,Spring
2,26,1,1,1,0.49,6.23,90,4.49980967,Spring
3,1,1,1,1,0.64,7.03,4,1.386294361,Summer
3,2,0,0,0,0.93,3.49,144,4.9698133,Summer
3,3,0,0,0,0.03,6.35,3,1.098612289,Summer
3,4,1,1,1,0.67,2.39,9,2.197224577,Summer
3,5,1,1,1,0.02,4.86,18,2.890371758,Summer
3,6,0,0,0,0.45,3.12,18,2.890371758,Summer
3,7,0,0,0,0.34,3.55,3,1.098612289,Summer
3,8,1,1,1,0.89,7.27,3,1.098612289,Summer
3,9,0,0,0,0.61,7.24,3,1.098612289,Summer
3,10,0,0,0,0.14,1.35,2,0.693147181,Summer
3,11,1,1,1,0.3,2.64,166,5.111987788,Summer
3,12,0,0,0,0.34,6.52,330,5.799092654,Summer
3,13,1,1,1,0.55,5.65,38,3.63758616,Summer
3,14,0,0,1,1.01,3.98,773,6.650279049,Summer
3,15,1,1,1,0.58,2.64,6,1.791759469,Summer
3,16,1,1,1,0.27,3.33,9,2.197224577,Summer
3,17,0,0,0,0.77,3.88,80,4.382026635,Summer
3,18,1,1,1,0.38,1.17,4,1.386294361,Summer
3,19,1,1,1,0.37,5.92,4,1.386294361,Summer
3,20,0,0,0,0.39,1.94,3,1.098612289,Summer
3,21,1,0,1,0.21,7.65,106,4.663439094,Summer
3,22,1,1,0,0.44,7.57,15,2.708050201,Summer
3,23,0,1,1,0.09,1.08,10,2.302585093,Summer
3,24,1,1,1,0.75,2.03,2,0.693147181,Summer
3,25,1,1,1,0.84,7.74,20,2.995732274,Summer
3,26,1,1,1,0.73,2.96,90,4.49980967,Summer
4,1,1,1,1,0.92,1.22,4,1.386294361,Spring
4,2,0,1,0,0.34,3.36,144,4.9698133,Spring
4,3,1,1,1,0.26,1.46,3,1.098612289,Spring
4,4,1,1,1,0.37,0.81,9,2.197224577,Spring
4,5,0,0,0,0.78,7.44,18,2.890371758,Spring
4,6,1,1,0,0.99,2.14,18,2.890371758,Spring
4,7,1,1,1,0.49,7.3,3,1.098612289,Spring
4,8,0,1,1,0.52,3.98,3,1.098612289,Spring
4,9,1,1,1,0.68,6.56,3,1.098612289,Spring
4,10,0,0,0,0.01,1.75,2,0.693147181,Spring
4,11,1,1,0,0.46,2.43,166,5.111987788,Spring
4,12,0,1,1,0.72,5.27,330,5.799092654,Spring
4,13,1,1,1,0.32,6.32,38,3.63758616,Spring
4,14,0,0,1,0.6,1.14,773,6.650279049,Spring
4,15,1,1,1,0.93,2.25,6,1.791759469,Spring
4,16,0,0,0,0.57,6.83,9,2.197224577,Spring
4,17,1,1,1,1.01,7.26,80,4.382026635,Spring
4,18,1,1,1,0.99,3.69,4,1.386294361,Spring
4,19,0,0,0,0.23,6.24,4,1.386294361,Spring
4,20,0,0,0,0.23,2.52,3,1.098612289,Spring
4,21,1,0,0,0.06,2.76,106,4.663439094,Spring
4,22,1,1,1,0.34,6.58,15,2.708050201,Spring
4,23,0,0,0,0.05,2.77,10,2.302585093,Spring
4,24,1,1,1,0.8,2.8,2,0.693147181,Spring
4,25,1,0,1,0.6,5.86,20,2.995732274,Spring
4,26,0,1,1,0.55,4.29,90,4.49980967,Spring
5,1,0,1,1,1,6.73,4,1.386294361,Summer
5,2,1,1,0,0.2,2.64,144,4.9698133,Summer
5,3,1,1,1,0.99,4.71,3,1.098612289,Summer
5,4,1,0,1,0.4,5.06,9,2.197224577,Summer
5,5,1,1,0,0.47,5.63,18,2.890371758,Summer
5,6,1,0,1,0.85,0.91,18,2.890371758,Summer
5,7,0,0,0,0.21,1.35,3,1.098612289,Summer
5,8,1,1,1,0.67,6.47,3,1.098612289,Summer
5,9,1,1,1,0.06,3.12,3,1.098612289,Summer
5,10,0,0,0,0.48,2.14,2,0.693147181,Summer
5,11,0,0,1,0.15,6.06,166,5.111987788,Summer
5,12,1,1,1,0.91,4.69,330,5.799092654,Summer
5,13,0,0,0,0.67,3.27,38,3.63758616,Summer
5,14,0,1,0,0.87,7.35,773,6.650279049,Summer
5,15,1,0,1,0.5,4.62,6,1.791759469,Summer
5,16,1,1,1,0,3.96,9,2.197224577,Summer
5,17,1,1,0,0.88,6.06,80,4.382026635,Summer
5,18,1,1,1,0.9,6.8,4,1.386294361,Summer
5,19,1,0,1,0.83,2.12,4,1.386294361,Summer
5,20,0,0,0,0.75,7.36,3,1.098612289,Summer
5,21,1,1,1,0.27,3.32,106,4.663439094,Summer
5,22,0,0,0,0.35,1.75,15,2.708050201,Summer
5,23,0,0,0,0.64,4.36,10,2.302585093,Summer
5,24,1,1,1,0.3,6.18,2,0.693147181,Summer
5,25,1,1,1,0.36,4.85,20,2.995732274,Summer
5,26,1,1,1,0.91,3.45,90,4.49980967,Summer
6,1,0,1,0,0.1,4.77,4,1.386294361,Spring
6,2,0,0,0,0.67,3.21,144,4.9698133,Spring
6,3,1,1,1,0.81,1.32,3,1.098612289,Spring
6,4,1,1,1,0.87,5.05,9,2.197224577,Spring
6,5,0,1,1,0.43,4.13,18,2.890371758,Spring
6,6,1,1,1,0.5,1.07,18,2.890371758,Spring
6,7,0,0,0,0.73,1.03,3,1.098612289,Spring
6,8,1,1,1,0.68,4.25,3,1.098612289,Spring
6,9,0,0,0,0.74,1.88,3,1.098612289,Spring
6,10,1,1,0,0.22,1.92,2,0.693147181,Spring
6,11,0,0,0,0.05,1.86,166,5.111987788,Spring
6,12,1,1,0,0.19,6.91,330,5.799092654,Spring
6,13,1,1,1,0.25,2.61,38,3.63758616,Spring
6,14,1,1,0,0.69,6.68,773,6.650279049,Spring
6,15,1,1,1,0.94,7.31,6,1.791759469,Spring
6,16,0,0,0,0.6,5.22,9,2.197224577,Spring
6,17,1,1,1,0.36,7.68,80,4.382026635,Spring
6,18,0,1,1,0.14,5.18,4,1.386294361,Spring
6,19,0,1,0,0.79,7.07,4,1.386294361,Spring
6,20,1,1,1,0.27,7.75,3,1.098612289,Spring
6,21,0,0,1,0.93,4.6,106,4.663439094,Spring
6,22,0,0,0,0.33,4.6,15,2.708050201,Spring
6,23,0,1,1,0.49,2.37,10,2.302585093,Spring
6,24,1,1,1,0.61,5.27,2,0.693147181,Spring
6,25,1,1,1,0.52,2.75,20,2.995732274,Spring
6,26,1,0,1,0.5,2.04,90,4.49980967,Spring
7,1,0,0,0,0.27,1.87,4,1.386294361,Summer
7,2,1,1,0,0.77,0.86,144,4.9698133,Summer
7,3,1,1,1,0.47,1.01,3,1.098612289,Summer
7,4,1,1,1,0.3,5.63,9,2.197224577,Summer
7,5,0,1,0,0.45,7.58,18,2.890371758,Summer
7,6,1,1,1,0.64,2.7,18,2.890371758,Summer
7,7,0,0,0,0.95,0.84,3,1.098612289,Summer
7,8,1,0,1,0.83,2.27,3,1.098612289,Summer
7,9,1,1,1,0.2,2.76,3,1.098612289,Summer
7,10,0,0,0,0.35,2.7,2,0.693147181,Summer
7,11,0,0,0,0.81,6.64,166,5.111987788,Summer
7,12,0,0,0,0.18,5.61,330,5.799092654,Summer
7,13,1,1,1,0.35,2.84,38,3.63758616,Summer
7,14,0,0,0,0.39,1.4,773,6.650279049,Summer
7,15,1,1,1,0.23,1.93,6,1.791759469,Summer
7,16,0,0,1,0.48,5.67,9,2.197224577,Summer
7,17,1,0,1,0.38,4.61,80,4.382026635,Summer
7,18,0,0,0,0.39,7.15,4,1.386294361,Summer
7,19,1,1,1,0.14,4.91,4,1.386294361,Summer
7,20,1,0,1,0.08,2.26,3,1.098612289,Summer
7,21,0,1,1,0.88,5.98,106,4.663439094,Summer
7,22,1,1,1,0.71,1.73,15,2.708050201,Summer
7,23,1,1,1,0.22,0.8,10,2.302585093,Summer
7,24,1,1,1,0.32,3.17,2,0.693147181,Summer
7,25,1,0,1,0.02,5.44,20,2.995732274,Summer
7,26,1,1,1,0.16,1.14,90,4.49980967,Summer
8,1,1,1,1,0.27,1.87,4,1.386294361,Spring
8,2,1,0,1,0.77,0.86,144,4.9698133,Spring
8,3,1,1,1,0.47,1.01,3,1.098612289,Spring
8,4,1,1,1,0.3,5.63,9,2.197224577,Spring
8,5,1,1,1,0.45,7.58,18,2.890371758,Spring
8,6,1,1,1,0.64,2.7,18,2.890371758,Spring
8,7,0,0,0,0.95,0.84,3,1.098612289,Spring
8,8,1,1,1,0.83,2.27,3,1.098612289,Spring
8,9,1,1,1,0.2,2.76,3,1.098612289,Spring
8,10,1,1,1,0.35,2.7,2,0.693147181,Spring
8,11,0,1,0,0.81,6.64,166,5.111987788,Spring
8,12,1,1,1,0.18,5.61,330,5.799092654,Spring
8,13,0,0,1,0.35,2.84,38,3.63758616,Spring
8,14,0,0,1,0.39,1.4,773,6.650279049,Spring
8,15,0,0,0,0.23,1.93,6,1.791759469,Spring
8,16,1,1,1,0.48,5.67,9,2.197224577,Spring
8,17,0,0,0,0.38,4.61,80,4.382026635,Spring
8,18,1,1,0,0.39,7.15,4,1.386294361,Spring
8,19,0,0,0,0.14,4.91,4,1.386294361,Spring
8,20,0,0,0,0.08,2.26,3,1.098612289,Spring
8,21,1,0,1,0.88,5.98,106,4.663439094,Spring
8,22,1,0,0,0.71,1.73,15,2.708050201,Spring
8,23,1,1,1,0.22,0.8,10,2.302585093,Spring
8,24,0,0,0,0.32,3.17,2,0.693147181,Spring
8,25,0,0,0,0.02,5.44,20,2.995732274,Spring
8,26,1,1,1,0.16,1.14,90,4.49980967,Spring
